filename,Classes,Labels,is_test
1025794.jpg,707-320,0,0
1340192.jpg,707-320,0,0
0056978.jpg,707-320,0,0
0698580.jpg,707-320,0,0
0450014.jpg,707-320,0,0
1042824.jpg,707-320,0,0
0894380.jpg,707-320,0,0
1427680.jpg,707-320,0,0
0817494.jpg,707-320,0,0
0716386.jpg,707-320,0,0
0951982.jpg,707-320,0,0
0731614.jpg,707-320,0,0
0582363.jpg,707-320,0,0
1082409.jpg,707-320,0,0
2031775.jpg,707-320,0,0
0950991.jpg,707-320,0,0
0869722.jpg,707-320,0,0
0979376.jpg,707-320,0,0
1002439.jpg,707-320,0,0
0864665.jpg,707-320,0,0
1207591.jpg,707-320,0,0
0582372.jpg,707-320,0,0
0729223.jpg,707-320,0,0
1319365.jpg,707-320,0,0
0548719.jpg,707-320,0,0
0577855.jpg,707-320,0,0
1423583.jpg,707-320,0,0
1187431.jpg,707-320,0,0
0610657.jpg,707-320,0,0
0869742.jpg,707-320,0,0
0687610.jpg,707-320,0,0
1042021.jpg,707-320,0,0
0482761.jpg,707-320,0,0
0064933.jpg,707-320,0,0
1019011.jpg,727-200,1,0
0732456.jpg,727-200,1,0
0218039.jpg,727-200,1,0
2223757.jpg,727-200,1,0
0983618.jpg,727-200,1,0
1327285.jpg,727-200,1,0
0065840.jpg,727-200,1,0
0980196.jpg,727-200,1,0
0995286.jpg,727-200,1,0
1514487.jpg,727-200,1,0
0213505.jpg,727-200,1,0
1459191.jpg,727-200,1,0
1063986.jpg,727-200,1,0
0056337.jpg,727-200,1,0
0409532.jpg,727-200,1,0
0771164.jpg,727-200,1,0
0632010.jpg,727-200,1,0
0901504.jpg,727-200,1,0
0063052.jpg,727-200,1,0
0143080.jpg,727-200,1,0
1089989.jpg,727-200,1,0
0907359.jpg,727-200,1,0
0875281.jpg,727-200,1,0
1197395.jpg,727-200,1,0
1149060.jpg,727-200,1,0
1059846.jpg,727-200,1,0
0786258.jpg,727-200,1,0
1512865.jpg,727-200,1,0
0523223.jpg,727-200,1,0
1115308.jpg,727-200,1,0
1739565.jpg,727-200,1,0
0994986.jpg,727-200,1,0
0193983.jpg,727-200,1,0
0822348.jpg,737-200,2,0
1152739.jpg,737-200,2,0
0907429.jpg,737-200,2,0
0209554.jpg,737-200,2,0
1187709.jpg,737-200,2,0
0847273.jpg,737-200,2,0
0923506.jpg,737-200,2,0
0059101.jpg,737-200,2,0
1548405.jpg,737-200,2,0
0438655.jpg,737-200,2,0
0921022.jpg,737-200,2,0
1094669.jpg,737-200,2,0
0198443.jpg,737-200,2,0
